,nom_mag,addresse,lat,long
0,Aldi Supermarkt,"Kontichsesteenweg 28
2630 Aartselaar",51.1419202,4.3838906
1,Aldi Supermarkt Brugstraat,"Brugstraat 8-10
2060 Antwerpen",51.226282600000005,4.41891119116141
2,Aldi Supermarkt Terninckstraat,"Terninckstraat 13
2000 Antwerpen",51.21175515,4.402158802151899
3,Aldi Supermarkt Lange Lozanastraat,"Lange Lozanastraat 177-179
2018 Antwerpen",51.20119255,4.40688460804582
4,Aldi Supermarkt Linkeroever,"Edmond De Coussemakerstraat 2
2050 Antwerpen",51.219744250000005,4.373414430919366
5,Aldi Supermarkt Slachthuislaan,"Slachthuislaan 27
2060 Antwerpen",51.22929745,4.438511672789425
6,Aldi Supermarkt,"De Daries 8
2370 Arendonk",51.3196792,5.0789546
7,Aldi Supermarkt,"Krommenhof 1
2340 Beerse",51.321068049999994,4.8614586279415
9,Aldi Supermarkt Frans De Vriendtstraat,"Frans De Vriendtstraat 50
2600 Berchem",51.203983550000004,4.444145468863497
10,Aldi Supermarkt,"Zomerstraat 20
2590 Berlaar",51.11308815,4.646309979867615
12,Aldi Supermarkt,"Kerkhofstraat 385
2850 Boom",51.0907367,4.37469
13,Aldi Supermarkt,"Sergeyselsstraat 60
2140 Borgerhout",51.2115644,4.4327213
15,Aldi Supermarkt,"Leopoldslei 10
2930 Brasschaat",51.2889123,4.4862653
16,Aldi Supermarkt,"Bethovenstraat 59
2960 Brecht",51.35300365,4.63378943476399
17,Aldi Supermarkt Ten Eekhovelei,"Ten Eekhovelei 29
2100 Deurne",51.2246672,4.4530813
18,Aldi Supermarkt Boterlaarbaan,"Boterlaarbaan 91
2100 Deurne",51.21001505,4.465011827407986
19,Aldi Supermarkt Luchthavenlei,"Luchthavenlei 7
2100 Deurne",51.1904198,4.450269774698678
20,Aldi Supermarkt Bisschoppenhoflaan,"Bisschoppenhoflaan 489
2100 Deurne",51.23544525,4.472108078953382
21,Aldi Supermarkt,"Kloosterstraat 103-107
2180 Ekeren",51.28307295,4.417874123530777
22,Aldi Supermarkt,"Nieuwstraat 34
2910 Essen",51.467112650000004,4.469874189284488
23,Aldi Supermarkt,"Spijker 22
2910 Essen",51.4503168,4.4749497
24,Aldi Supermarkt,"Pas 264
2440 Geel",51.1529944,4.9766539
